,source,author,title,description,url,urlToImage,publishedAt,content
Hugging News #0724: Llama 2 登陆 Hugging Face、AI 开源游戏竞赛获奖选手公布！ - HuggingFace,"{'id': None, 'name': 'Cnblogs.com'}",HuggingFace,Hugging News #0724: Llama 2 登陆 Hugging Face、AI 开源游戏竞赛获奖选手公布！ - HuggingFace,每一周，我们的同事都会向社区的成员们发布一些关于 Hugging Face 相关的更新，包括我们的产品和平台更新、社区活动、学习资源和内容更新、开源库和模型更新等，我们将其称之为「Hugging News」。本期 Hugging News 有哪些有趣的消息，快来看看吧！  ## 重点内容 #,https://www.cnblogs.com/huggingface/p/17578351.html,,2023-07-24T12:59:00Z,"Hugging Face Hugging News Hugging News 
: 
Hugging Face 
 ERNIE ViLG () Stable Diffusion v 2.1 () 
#4: 
 Whisper 
Whisper 
Whisper OpenAI 2022 
""X""
<ul><li> ""X"" Whisper </li><li>""X"" LLM GPT-… [+682 chars]"
Daily Hacker News for 2023-07-23,"{'id': None, 'name': 'Daemonology.net'}",,Daily Hacker News for 2023-07-23,"The 10 highest-rated articles on
Hacker News
on July 23, 2023 which have not appeared on any previous
Hacker News Daily
are:
<ul>
<li>
Important Coding Habits
(comments)
</li>
<li>
A Caltech Nobel laureate celebrates his 100th birthday, then gets back to work…",https://www.daemonology.net/hn-daily/2023-07-23.html,,2023-07-24T00:00:00Z,"The 10 highest-rated articles on
Hacker News
on July 23, 2023 which have not appeared on any previous
Hacker News Daily
are:"
How Meta’s Llama 2 Shifts Marketing’s Relationship With AI,"{'id': None, 'name': 'CMSWire'}",pr@cmswire.com (Pierre DeBois),How Meta’s Llama 2 Shifts Marketing’s Relationship With AI,"Learn how Meta’s Llama 2 is changing the marketing game with its advanced AI capabilities and potential for unique customer experiences.
Continue reading...",https://www.cmswire.com/digital-experience/how-metas-llama-2-shifts-marketings-relationship-with-ai/,https://www.cmswire.com/-/media/8be51baf377a4035949b8f53ac8422e9.ashx,2023-07-27T11:02:32Z,"The Gist
<ul><li>Llama 2 launch. Meta's Llama 2 shifts AI marketing dynamics.</li><li>Tech titans.Microsoft and Meta jointly develop Llama 2.</li><li>Legality matters.AI legislation impacts open-sou… [+6931 chars]"
Llama2.c: inference llama 2 in one file of pure C | Hacker News,"{'id': 'hacker-news', 'name': 'Hacker News'}",tomcam,Llama2.c: inference llama 2 in one file of pure C | Hacker News,,https://news.ycombinator.com/item?id=36838051,,2023-07-25T05:47:01Z,"I got the strangest output from your first link. It starts off sane enough, but then starts devolving with typos, then gibberish, then maybe foreign languages and some more technical/programmatic ter… [+5952 chars]"
Alibaba's cloud unit brings Meta's AI model Llama to its clients,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Alibaba's cloud unit brings Meta's AI model Llama to its clients,"Alibaba's cloud computing division said it has become the first Chinese enterprise to support Meta's open-source artificial intelligence (AI) model Llama, allowing its Chinese business users to develop programs off the model.",https://economictimes.indiatimes.com/tech/technology/alibabas-cloud-unit-brings-metas-ai-model-llama-to-its-clients/articleshow/102126919.cms,"https://img.etimg.com/thumb/msid-102126946,width-1070,height-580,imgsize-59692,overlay-ettech/photo.jpg",2023-07-26T05:31:09Z,"Alibaba's cloud computing division said it has become the first Chinese enterprise to support Meta's open-source artificial intelligence (AI) model Llama, allowing its Chinese business users to devel… [+2419 chars]"
4 big analyst picks: Meta lands a buy rating on AI By,"{'id': None, 'name': 'Biztoc.com'}",investing.com,4 big analyst picks: Meta lands a buy rating on AI By,"Here is your Pro Recap of the biggest analyst picks you may have missed since yesterday: upgrades at Meta Platforms, Zscaler, NetApp, and WW International. InvestingPro subscribers got this news first. Never miss another market-moving headline. Meta Platforms…",https://biztoc.com/x/df335770b748ec0c,https://c.biztoc.com/p/df335770b748ec0c/s.webp,2023-07-26T15:30:08Z,"Here is your Pro Recap of the biggest analyst picks you may have missed since yesterday: upgrades at Meta Platforms, Zscaler, NetApp, and WW International.InvestingPro subscribers got this news first… [+306 chars]"
Meta Stock: Facebook Parent Beats Q2 Goals,"{'id': None, 'name': 'Biztoc.com'}",investors.com,Meta Stock: Facebook Parent Beats Q2 Goals,"parent company of Facebook, Instagram and WhatsApp, beat Wall Street's targets for the second quarter and upped its outlook for the current period. Meta stock jumped Thursday on the news. The Menlo Park, Calif.-based social media giant late Wednesday said it …",https://biztoc.com/x/a50f66afcc2cf2f2,https://c.biztoc.com/p/a50f66afcc2cf2f2/og.webp,2023-07-27T17:06:13Z,", parent company of Facebook, Instagram and WhatsApp, beat Wall Street's targets for the second quarter and upped its outlook for the current period. Meta stock jumped Thursday on the news.The Menlo … [+298 chars]"
"AWS Week in Review – Redshift+Forecast, CodeCatalyst+GitHub, Lex Analytics, Llama 2, and Much More – July 24, 2023","{'id': None, 'name': 'Amazon.com'}",Jeff Barr,"AWS Week in Review – Redshift+Forecast, CodeCatalyst+GitHub, Lex Analytics, Llama 2, and Much More – July 24, 2023","Summer is in full swing here in Seattle and we are spending more time outside and less at the keyboard. Nevertheless, the launch machine is running at full speed and I have plenty to share with you today. Let’s dive in and take a look! Last Week’s Launches He…",https://aws.amazon.com/blogs/aws/aws-week-in-review-redshiftforecast-codecatalystgithub-lex-analytics-llama-2-and-much-more-july-24-2023/,https://d2908q01vomqb2.cloudfront.net/da4b9237bacccdf19c0760cab7aec4a8359010b0/2023/07/24/AWS-WIR-7.24.23.png,2023-07-24T22:58:56Z,"Summer is in full swing here in Seattle and we are spending more time outside and less at the keyboard. Nevertheless, the launch machine is running at full speed and I have plenty to share with you t… [+4435 chars]"
Alibaba Cloud to Support Meta AI Model for Chinese Users,"{'id': None, 'name': 'Investopedia'}",Vaidik Trivedi,Alibaba Cloud to Support Meta AI Model for Chinese Users,ADRs of Alibaba and Meta shares rose after the Chinese company said the American tech giant's AI model can be used by enterprise clients of Alibaba Cloud.,https://www.investopedia.com/alibaba-cloud-to-support-meta-ai-model-for-chinese-users-7565634,https://www.investopedia.com/thmb/4DQiJTAZpSXtg6_wv5uN4JSSG4k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-14984424701-9dc6316c86444c42b170264bb163b797.jpg,2023-07-26T13:55:09Z,"The cloud arm of Alibaba Group (BABA) said Wednesday it will support Metas (META) open-source artificial intelligence (AI) model Llama2, becoming the first Chinese company to do so, Reuters reported.… [+1211 chars]"
Unsupervised Learning NO. 391,"{'id': None, 'name': 'Danielmiessler.com'}",Daniel Miessler,Unsupervised Learning NO. 391,"AI Manipulation Defenders, .MIL Leak, and the NPC Phenomenon",http://danielmiessler.com/p/391,https://beehiiv-images-production.s3.amazonaws.com/uploads/asset/file/736fd8b9-0af8-4331-bf49-100a9767d635/391.png,2023-07-24T16:53:27Z,"Unsupervised Learning is a Security, AI, and Meaning-focused podcast that looks at how best to thrive as humans in a post-AI world. It combines original ideas, analysis, and mental models to bring no… [+12974 chars]"
Will Biden’s Meetings with A.I. Companies Make Any Difference?,"{'id': None, 'name': 'The New Yorker'}",Sue Halpern,Will Biden’s Meetings with A.I. Companies Make Any Difference?,"Voluntary commitments from the likes of OpenAI, Microsoft, and Google could be a small step toward meaningful A.I. regulations—or a way for Big Tech to write its own rules.",https://www.newyorker.com/news/daily-comment/will-bidens-meetings-with-ai-companies-make-any-difference,"https://media.newyorker.com/photos/64bee5ef7a7e243bdeb481e8/16:9/w_1280,c_limit/Halpern-Biden-AI.jpg",2023-07-24T23:05:00Z,"On Friday, the Biden Administration announced that seven leading American artificial-intelligence companies had agreed to put some voluntary guardrails around their products. Google, Microsoft, Meta,… [+9616 chars]"
Alibaba#39;s cloud unit brings Meta#39;s AI model Llama to its clients,"{'id': None, 'name': 'Moneycontrol'}",Reuters,Alibaba#39;s cloud unit brings Meta#39;s AI model Llama to its clients,"Meta released Llama2, a commercial version of Llama, this month to provide businesses a powerful free-of-charge alternative to pricey proprietary models sold by OpenAI and Google.",https://www.moneycontrol.com/news/world/alibabas-cloud-unit-brings-metas-ai-model-llama-to-its-clients-11031611.html,https://images.moneycontrol.com/static-mcnews/2022/05/alibaba-770x433.jpg,2023-07-26T05:40:22Z,"Alibaba's cloud computing division said it has become the first Chinese enterprise to support Meta's open-source artificial intelligence (AI) model Llama, allowing its Chinese business users to devel… [+2321 chars]"
This Week In Rust: This Week in Rust 505,"{'id': None, 'name': 'This-week-in-rust.org'}",TWiR Contributors,This Week In Rust: This Week in Rust 505,"Hello and welcome to another issue of This Week in Rust!
Rust is a programming language empowering everyone to build reliable and efficient software.
This is a weekly summary of its progress and community.
Want something mentioned? Tag us at @ThisWeekInRust o…",https://this-week-in-rust.org/blog/2023/07/26/this-week-in-rust-505/,,2023-07-26T04:00:00Z,"Hello and welcome to another issue of This Week in Rust!
Rust is a programming language empowering everyone to build reliable and efficient software.
This is a weekly summary of its progress and co… [+11470 chars]"
Running Language Models – Deploy Llama2 7b on AI Core,"{'id': None, 'name': 'Sap.com'}",Felix Bartler,Running Language Models – Deploy Llama2 7b on AI Core,"With the rapid release of new language models, it is challenging to keep track. The latest language model that will be particularly interesting in the context of SAP AI Core is Llama2, with 7 billion parameters.",https://blogs.sap.com/2023/07/28/running-language-models-deploy-llama2-7b-on-ai-core/,,2023-07-28T12:52:37Z,"With the rapid release of new language models, it is challenging to keep track. The latest language model that will be particularly interesting in the context of SAP AI Core is Llama2, with 7 billion… [+13509 chars]"
The Future of Programming: AI and Interface-Oriented Languages,"{'id': None, 'name': 'Medium'}",Eric Elliott,The Future of Programming: AI and Interface-Oriented Languages,"AI language models, such as ChatGPT and Claude, empower anyone to create software. These models can intelligently understand problems, create solutions, and explain the solutions. But natural…",https://medium.com/javascript-scene/the-future-of-programming-ai-and-interface-oriented-languages-119f155466ef,https://miro.medium.com/v2/resize:fit:1200/1*kiUgtZJP9P3vjl7lN-FGhg.png,2023-07-24T18:59:09Z,"AI language models, such as ChatGPT and Claude, empower anyone to create software. These models can intelligently understand problems, create solutions, and explain the solutions. But natural languag… [+14114 chars]"
gentopia added to PyPI,"{'id': None, 'name': 'Pypi.org'}",billxbf@gmail.com,gentopia added to PyPI,Gentopia provides extensive utilities to assembles ALM agents driven by configs.,https://pypi.org/project/gentopia/,https://pypi.org/static/images/twitter.abaf4b19.webp,2023-07-27T06:29:21Z,"The Collective Growth of Intelligent Agents.
Gentopia is a lightweight and extensible framework for LLM-driven Agents and ALM research. It provides multiple essential components to build, test and e… [+3256 chars]"
LLaMA2 Chat 70B outperformed ChatGPT,"{'id': None, 'name': 'Github.io'}",,LLaMA2 Chat 70B outperformed ChatGPT,Comments,https://tatsu-lab.github.io/alpaca_eval/,,2023-07-27T15:44:10Z,"About AlpacaEval
AlpacaEval
 an LLM-based automatic evaluation that is fast, cheap, and reliable.
 It is based on the
 AlpacaFarm
 evaluation set,
 which tests the ability of models to follow g… [+1962 chars]"
Meta Platforms Stock Gets Upgraded Going Into Earnings - Here's Why,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Meta Platforms Stock Gets Upgraded Going Into Earnings - Here's Why,Meta Platforms Inc META shares are trading higher Tuesday after New Street Research analyst Dan Salmon upgraded the stock from Neutral to Buy and a $350 price target. The first and most important reason was the release of Llama 2 last week (in conjunction wit…,https://biztoc.com/x/ec1874bda26f4684,https://c.biztoc.com/p/ec1874bda26f4684/s.webp,2023-07-25T14:40:04Z,Meta Platforms Inc META shares are trading higher Tuesday after New Street Research analyst Dan Salmon upgraded the stock from Neutral to Buy and a $350 price target.The first and most important reas… [+308 chars]
8 Ways to Try Llama 2 from Meta for Free,"{'id': None, 'name': 'Ilovefreesoftware.com'}",Mohammad Suleman,8 Ways to Try Llama 2 from Meta for Free,"Here is a list of free websites where you can try the LLaMa 2 AI models for free. On these online sites, you can generate text using AI
The post 8 Ways to Try Llama 2 from Meta for Free appeared first on I Love Free Software.",https://www.ilovefreesoftware.com/24/featured/ways-to-try-llama-2-from-meta-for-free.html,https://www.ilovefreesoftware.com/wp-content/uploads/2023/07/8-Ways-to-Try-Llama-2-from-Meta-for-Free-Online.png,2023-07-24T17:00:57Z,Llama2 has shaken LLM world by its extra ordinary benchmarks and by posing a direct challenge to the existing top notch closed source LLMs by AI platforms such as OpenAI and Anthropic. The first wave… [+12062 chars]
LLAMA2: Testing a Tiny LLM with Hugging Face & SAP BTP,"{'id': None, 'name': 'Sap.com'}",Aron MacDonald,LLAMA2: Testing a Tiny LLM with Hugging Face & SAP BTP,"NOTE: The views and opinions expressed in this blog are my own Meta have recently made available their  Llama2 Large Language Models (LLM) for free, for commercial usage.  https://ai.meta.com/llama/ Though they may lack the breadth and depth […]",https://blogs.sap.com/2023/07/25/llama2-testing-a-tiny-llm-with-hugging-face-sap-btp/,,2023-07-25T13:55:36Z,"NOTE: The views and opinions expressed in this blog are my own
Meta have recently made available their  Llama2 Large Language Models (LLM) for free, for commercial usage.  https://ai.meta.com/llama/… [+4811 chars]"
Simplify your LLM Chatbot Demos with SAP BTP and Gradio,"{'id': None, 'name': 'Sap.com'}",Aron MacDonald,Simplify your LLM Chatbot Demos with SAP BTP and Gradio,"NOTE: The views and opinions expressed in this blog are my own In this blog I will demonstrate how you can quickly build a custom LLM Chatbot Demo with Gradio in under 100 lines of code, running on SAP",https://blogs.sap.com/2023/07/23/simplify-your-llm-chatbot-demos-with-sap-btp-and-gradio/,,2023-07-23T14:18:35Z,"NOTE: The views and opinions expressed in this blog are my own
In this blog I will demonstrate how you can quickly build a custom LLM Chatbot Demo with Gradio in under 100 lines of code, running on … [+5670 chars]"
"Show HN: Goat-7B LLM, a new SOTA among the open-source 7B models","{'id': None, 'name': 'Huggingface.co'}",goat-zero,"Show HN: Goat-7B LLM, a new SOTA among the open-source 7B models","New research results around LLM 'alignment', data filtering and model training.

Comments URL: https://news.ycombinator.com/item?id=36860356
Points: 2
# Comments: 0",https://huggingface.co/GOAT-AI/GOAT-7B-Community?ref=blog.goat.ai,https://cdn-thumbnails.huggingface.co/social-thumbnails/models/GOAT-AI/GOAT-7B-Community.png,2023-07-25T10:33:51Z,"GOAT-7B-Community model
GOAT-7B-Community model is supervised finetuned (SFT) version of LLaMA 2 developed by GOAT.AI lab on user-shared conversations from GoatChat app.
Model description
<ul><li>… [+1828 chars]"
Llama We Doing This Again?,"{'id': None, 'name': 'Lesswrong.com'}",Zvi,Llama We Doing This Again?,"Published on July 26, 2023 1:00 PM GMTI’ve finally had an opportunity to gather the available information about Llama-2 and take an in-depth look at the system card.



My conclusion is that Llama-2 looks to score about 3.4 GPTs, with coding as its relative w…",https://www.lesswrong.com/posts/rhdAAFLgLBHLtGcNT/llama-we-doing-this-again,"https://substackcdn.com/image/fetch/w_1456,c_limit,f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fbf925961-e5f0-46d6-be4f-4dc576d02050_1354x813.png",2023-07-26T13:00:09Z,"Ive finally had an opportunity to gather the available information about Llama-2 and take an in-depth look at the system card.
My conclusion is that Llama-2 looks to score about 3.4 GPTs, with codin… [+27519 chars]"
A comprehensive guide to running Llama 2 locally,"{'id': None, 'name': 'Replicate.com'}",bfirsh,A comprehensive guide to running Llama 2 locally,"Article URL: https://replicate.com/blog/run-llama-locally
Comments URL: https://news.ycombinator.com/item?id=36865495
Points: 11
# Comments: 0",https://replicate.com/blog/run-llama-locally,https://replicate.com/static/blog/run-llama-locally/llama-captain.jpg,2023-07-25T16:58:42Z,"Weve been talking a lot about how to run and fine-tune Llama 2 on Replicate. But you can also run Llama locally on your M1/M2 Mac, on Windows, on Linux, or even your phone. The cool thing about runni… [+3123 chars]"
The Unprecedented Surge of AI by Big Tech,"{'id': None, 'name': 'Web-strategist.com'}",jeremiah_owyang,The Unprecedented Surge of AI by Big Tech,"Eight Significant AI Moves from Tech Giants in JulyArtificial Intelligence (AI) has always been a key area of interest for Big Tech, but the recent surge of activity in this field is unprecedented. Having been in Silicon Valley for over two decades, I can con…",https://web-strategist.com/blog/2023/07/22/the-unprecedented-surge-of-ai-by-big-tech/,https://web-strategist.com/blog/wp-content/uploads/2023/07/Screen-Shot-2023-07-22-at-5.24.15-AM.png,2023-07-22T12:25:20Z,"Eight Significant AI Moves from Tech Giants in JulyArtificial Intelligence (AI) has always been a key area of interest for Big Tech, but the recent surge of activity in this field is unprecedented. H… [+2485 chars]"
A Silent New AI Bombshell Launch Nobody Saw Coming,"{'id': None, 'name': 'Biztoc.com'}",medium.com,A Silent New AI Bombshell Launch Nobody Saw Coming,"A Silent New AI Bombshell Launch Nobody Saw Coming Meta’s pulling out the big guns. LLaMA 2, their shiny new AI, is now open-source. Free for anyone. And I mean anyone. Your grandma, your dog, even your weird neighbor who still uses a flip phone. Is it a nobl…",https://biztoc.com/x/0197f9ca1ccb69aa,https://c.biztoc.com/p/0197f9ca1ccb69aa/s.webp,2023-07-22T10:04:05Z,"A Silent New AI Bombshell Launch Nobody Saw ComingMetas pulling out the big guns. LLaMA 2, their shiny new AI, is now open-source. Free for anyone. And I mean anyone. Your grandma, your dog, even you… [+228 chars]"
What is LLama2? : Dive into Meta AI’s Newest Open Source Language Model,"{'id': None, 'name': 'Biztoc.com'}",medium.datadriveninvestor.com,What is LLama2? : Dive into Meta AI’s Newest Open Source Language Model,"Meta AI and Microsoft have come together to launch 2, the new version of Meta’s open-source large language model Large Language Model Meta AI (LLaMA 1) is the first version of the state-of-the-art foundational large language model that was released by Meta in…",https://biztoc.com/x/b7773071a88fdd0b,https://c.biztoc.com/p/b7773071a88fdd0b/s.webp,2023-07-27T00:44:19Z,"Meta AI and Microsoft have come together to launch 2, the new version of Metas open-source large language modelLarge Language Model Meta AI (LLaMA 1) is the first version of the state-of-the-art foun… [+231 chars]"
"Meta reports Q2 revenue up 11% YoY to $32B, net income up 16% YoY to $7.79B, and family daily active people up 7% YoY to 3.07B for June 2023","{'id': None, 'name': 'Biztoc.com'}",investor.fb.com,"Meta reports Q2 revenue up 11% YoY to $32B, net income up 16% YoY to $7.79B, and family daily active people up 7% YoY to 3.07B for June 2023","MENLO PARK, Calif., July 26, 2023 /PRNewswire/ -- Meta Platforms, Inc. (Nasdaq: META) today reported financial results for the quarter ended June 30, 2023. ""We had a good quarter. We continue to see strong engagement across our apps and we have the most excit…",https://biztoc.com/x/4ae441db4bdc6255,https://c.biztoc.com/p/4ae441db4bdc6255/s.webp,2023-07-26T20:22:06Z,"MENLO PARK, Calif., July 26, 2023 /PRNewswire/ -- Meta Platforms, Inc. (Nasdaq: META) today reported financial results for the quarter ended June 30, 2023.""We had a good quarter. We continue to see s… [+295 chars]"
